Date,temp_2m_K,dewpoint_2m_K,u_wind_10m,v_wind_10m,temp_2m_C,dewpoint_2m_C,wind_speed_10m
2025-01-01,278.28155517578125,271.31036376953125,-0.7775325775146484,-1.541707992553711,5.131555175781273,-1.8396362304687273,1.726679021532539
2025-01-02,278.73916015625,272.4974609375,-0.8736364364624023,-1.4547775268554688,5.589160156250022,-0.6525390624999772,1.7165008969299695
2025-01-03,279.19676513671874,273.68455810546874,-0.9697402954101563,-1.3678470611572267,6.046765136718773,0.5345581054687729,1.7063227723274002
2025-01-04,279.6543701171875,274.8716552734375,-1.0658441543579102,-1.2809165954589843,6.504370117187523,1.721655273437523,1.6961446477248305
2025-01-05,280.1119750976562,276.0587524414062,-1.161948013305664,-1.1939861297607421,6.961975097656273,2.908752441406273,1.6859665231222611
2025-01-06,280.569580078125,277.245849609375,-1.258051872253418,-1.1070556640625,7.419580078125023,4.095849609375023,1.6757883985196917
2025-01-07,280.43499145507815,277.3671020507812,-1.5288520812988282,-1.0107433319091796,7.284991455078147,4.217102050781273,1.8778108819594554
2025-01-08,280.30040283203124,277.4883544921875,-1.7996522903442382,-0.9144309997558594,7.150402832031273,4.338354492187523,2.079833365399219
2025-01-09,280.1658142089844,277.60960693359374,-2.0704524993896483,-0.818118667602539,7.015814208984398,4.459606933593773,2.281855848838983
2025-01-10,280.0312255859375,277.730859375,-2.3412527084350585,-0.7218063354492188,6.881225585937523,4.580859375000022,2.4838783322787465
2025-01-11,279.8966369628906,277.85211181640625,-2.6120529174804688,-0.6254940032958984,6.746636962890648,4.702111816406273,2.6859008157185102
2025-01-12,279.65679931640625,276.3566467285156,-2.3205833435058594,-0.8367750167846679,6.506799316406273,3.206646728515648,2.556746545435802
2025-01-13,279.4169616699219,274.861181640625,-2.02911376953125,-1.0480560302734374,6.266961669921898,1.7111816406250226,2.427592275153094
2025-01-14,279.1771240234375,273.3657165527344,-1.7376441955566406,-1.2593370437622071,6.027124023437523,0.21571655273439738,2.2984380048703854
2025-01-15,278.9372863769531,271.87025146484376,-1.4461746215820312,-1.4706180572509766,5.787286376953148,-1.2797485351562274,2.169283734587677
2025-01-16,278.69744873046875,270.3747863769531,-1.1547050476074219,-1.681899070739746,5.547448730468773,-2.7752136230468523,2.040129464304969
2025-01-17,278.6477416992187,269.96893920898435,-1.0007057189941406,-1.8879459381103516,5.497741699218773,-3.1810607910156024,2.179960055465303
2025-01-18,278.59803466796876,269.56309204101564,-0.8467063903808594,-2.093992805480957,5.448034667968773,-3.5869079589843524,2.319790646625637
2025-01-19,278.54832763671874,269.15724487304686,-0.6927070617675781,-2.3000396728515624,5.398327636718773,-3.992755126953102,2.4596212377859707
2025-01-20,278.4986206054688,268.75139770507815,-0.5387077331542969,-2.506086540222168,5.348620605468772,-4.398602294921853,2.5994518289463047
2025-01-21,278.44891357421875,268.3455505371094,-0.3847084045410156,-2.7121334075927734,5.298913574218773,-4.804449462890602,2.7392824201066386
2025-01-22,278.447412109375,269.56389770507815,-0.38591766357421875,-2.744050216674805,5.297412109375022,-3.586102294921852,2.7710620414212284
2025-01-23,278.44591064453124,270.78224487304686,-0.3871269226074219,-2.775967025756836,5.295910644531273,-2.367755126953102,2.8028416627358177
2025-01-24,278.4444091796875,272.00059204101564,-0.388336181640625,-2.8078838348388673,5.294409179687523,-1.149407958984352,2.8346212840504075
2025-01-25,278.4429077148437,273.21893920898435,-0.3895454406738281,-2.8398006439208983,5.292907714843773,0.06893920898439809,2.866400905364997
2025-01-26,278.44140625,274.4372863769531,-0.39075469970703125,-2.8717174530029297,5.291406250000023,1.2872863769531477,2.8981805266795866
2025-01-27,278.8398803710937,275.0247863769531,-0.5790519714355469,-2.521079254150391,5.689880371093773,1.8747863769531476,2.6664505969976497
2025-01-28,279.2383544921875,275.61228637695314,-0.7673492431640625,-2.1704410552978515,6.088354492187523,2.4622863769531476,2.434720667315713
2025-01-29,279.63682861328124,276.1997863769531,-0.9556465148925781,-1.8198028564453126,6.486828613281273,3.049786376953148,2.202990737633776
2025-01-30,280.035302734375,276.78728637695315,-1.1439437866210938,-1.4691646575927735,6.885302734375022,3.637286376953148,1.9712608079518388
2025-01-31,280.43377685546875,277.3747863769531,-1.3322410583496094,-1.1185264587402344,7.283776855468773,4.224786376953148,1.739530878269902
2025-02-01,279.82574462890625,276.5122863769531,-1.2313657760620118,-1.2367893218994142,6.675744628906273,3.362286376953148,1.7715676113731413
2025-02-02,279.21771240234375,275.6497863769531,-1.130490493774414,-1.3550521850585937,6.067712402343773,2.4997863769531476,1.8036043444763807
2025-02-03,278.60968017578125,274.78728637695315,-1.0296152114868165,-1.4733150482177735,5.459680175781273,1.6372863769531474,1.8356410775796201
2025-02-04,278.00164794921875,273.92478637695314,-0.9287399291992188,-1.591577911376953,4.851647949218773,0.7747863769531476,1.8676778106828595
2025-02-05,277.39361572265625,273.0622863769531,-0.8278646469116211,-1.7098407745361328,4.243615722656273,-0.08771362304685226,1.899714543786099
2025-02-06,276.98927001953126,273.0122863769531,-1.0436269760131835,-1.3302413940429687,3.8392700195312726,-0.13771362304685225,1.9029591720157604
2025-02-07,276.5849243164063,272.9622863769531,-1.259389305114746,-0.9506420135498047,3.434924316406273,-0.18771362304685227,1.9062038002454218
2025-02-08,276.1805786132812,272.91228637695315,-1.4751516342163087,-0.5710426330566407,3.0305786132812726,-0.23771362304685228,1.909448428475083
2025-02-09,275.77623291015624,272.86228637695314,-1.6909139633178711,-0.1914432525634766,2.626232910156273,-0.2877136230468523,1.9126930567047444
2025-02-10,275.37188720703125,272.8122863769531,-1.9066762924194336,0.1881561279296875,2.2218872070312727,-0.33771362304685226,1.9159376849344059
2025-02-11,275.76390380859374,273.1443359375,-1.5777070999145508,-0.25717926025390625,2.613903808593773,-0.0056640624999772515,1.9438035375036424
2025-02-12,276.1559204101562,273.47638549804685,-1.248737907409668,-0.7025146484375,3.0059204101562726,0.32638549804689776,1.971669390072879
2025-02-13,276.5479370117188,273.8084350585938,-0.9197687149047851,-1.1478500366210938,3.397937011718773,0.6584350585937728,1.9995352426421156
2025-02-14,276.93995361328126,274.14048461914064,-0.5907995223999023,-1.5931854248046875,3.7899536132812726,0.9904846191406478,2.027401095211352
2025-02-15,277.33197021484375,274.4725341796875,-0.26183032989501953,-2.0385208129882812,4.181970214843773,1.3225341796875227,2.0552669477805887
2025-02-16,278.29368896484374,275.56548461914065,-0.3454792022705078,-2.200353240966797,5.143688964843773,2.415484619140648,2.2297662812654506
2025-02-17,279.2554077148437,276.65843505859374,-0.4291280746459961,-2.3621856689453127,6.105407714843773,3.508435058593773,2.4042656147503125
2025-02-18,280.2171264648438,277.7513854980469,-0.5127769470214844,-2.524018096923828,7.067126464843772,4.6013854980468984,2.5787649482351744
2025-02-19,281.17884521484376,278.8443359375,-0.5964258193969727,-2.6858505249023437,8.028845214843773,5.694335937500023,2.753264281720037
2025-02-20,282.14056396484375,279.9372863769531,-0.6800746917724609,-2.8476829528808594,8.990563964843773,6.787286376953148,2.9277636152048987
2025-02-21,282.2581298828125,280.16228637695315,-0.5113143920898438,-2.5863189697265625,9.108129882812523,7.012286376953147,2.6521183213322215
2025-02-22,282.3756958007813,280.3872863769531,-0.34255409240722656,-2.3249549865722656,9.225695800781272,7.237286376953148,2.3764730274595447
2025-02-23,282.49326171875,280.61228637695314,-0.17379379272460938,-2.0635910034179688,9.343261718750023,7.462286376953148,2.1008277335868675
2025-02-24,282.61082763671874,280.8372863769531,-0.0050334930419921875,-1.8022270202636719,9.460827636718772,7.687286376953148,1.8251824397141905
2025-02-25,282.7283935546875,281.0622863769531,0.163726806640625,-1.540863037109375,9.578393554687523,7.912286376953148,1.5495371458415135
2025-02-26,282.59962158203126,280.79840087890625,0.7128820419311523,-1.0113048553466797,9.449621582031273,7.648400878906273,1.8622209765471014
2025-02-27,282.470849609375,280.5345153808594,1.2620372772216797,-0.4817466735839844,9.320849609375022,7.384515380859398,2.1749048072526893
2025-02-28,282.3420776367187,280.2706298828125,1.811192512512207,0.04781150817871094,9.192077636718773,7.120629882812523,2.4875886379582774
2025-03-01,282.2133056640625,280.0067443847656,2.3603477478027344,0.5773696899414062,9.063305664062522,6.856744384765648,2.8002724686638656
2025-03-02,282.08453369140625,279.74285888671875,2.9095029830932617,1.1069278717041016,8.934533691406273,6.592858886718773,3.1129562993694533
2025-03-03,281.14755859375,278.93174438476564,2.0245439529418947,0.688006591796875,7.997558593750023,5.781744384765648,2.852117398311536
2025-03-04,280.21058349609376,278.1206298828125,1.1395849227905273,0.26908531188964846,7.060583496093773,4.970629882812522,2.591278497253619
2025-03-05,279.2736083984375,277.30951538085935,0.2546258926391598,-0.14983596801757804,6.123608398437523,4.159515380859398,2.330439596195702
2025-03-06,278.3366333007813,276.49840087890624,-0.6303331375122072,-0.5687572479248046,5.186633300781272,3.348400878906273,2.069600695137785
2025-03-07,277.399658203125,275.6872863769531,-1.5152921676635742,-0.9876785278320312,4.249658203125023,2.5372863769531477,1.8087617940798677
2025-03-08,278.7594909667969,276.6722473144531,-1.609653854370117,-0.6533184051513672,5.609490966796898,3.5222473144531476,1.867323214587916
2025-03-09,280.11932373046875,277.65720825195314,-1.7040155410766602,-0.3189582824707031,6.969323730468773,4.507208251953148,1.9258846350959642
2025-03-10,281.4791564941406,278.6421691894531,-1.798377227783203,0.015401840209960938,8.329156494140648,5.492169189453148,1.9844460556040127
2025-03-11,282.8389892578125,279.62713012695315,-1.8927389144897462,0.349761962890625,9.688989257812523,6.477130126953147,2.0430074761120607
2025-03-12,284.1988220214844,280.6120910644531,-1.987100601196289,0.6841220855712891,11.048822021484398,7.462091064453148,2.101568896620109
2025-03-13,284.1650390625,281.037939453125,-1.8223718643188476,0.44640636444091797,11.015039062500023,7.887939453125023,1.9348775435854586
