Date,temp_2m_K,dewpoint_2m_K,u_wind_10m,v_wind_10m
2025-01-01,278.28155517578125,271.31036376953125,-0.7775325775146484,-1.541707992553711
2025-01-06,280.569580078125,277.245849609375,-1.258051872253418,-1.1070556640625
2025-01-11,279.8966369628906,277.85211181640625,-2.6120529174804688,-0.6254940032958984
2025-01-16,278.69744873046875,270.3747863769531,-1.1547050476074219,-1.681899070739746
2025-01-21,278.44891357421875,268.3455505371094,-0.3847084045410156,-2.7121334075927734
2025-01-26,278.44140625,274.4372863769531,-0.39075469970703125,-2.8717174530029297
2025-01-31,280.43377685546875,277.3747863769531,-1.3322410583496094,-1.1185264587402344
2025-02-05,277.39361572265625,273.0622863769531,-0.8278646469116211,-1.7098407745361328
2025-02-10,275.37188720703125,272.8122863769531,-1.9066762924194336,0.1881561279296875
2025-02-15,277.33197021484375,274.4725341796875,-0.26183032989501953,-2.0385208129882812
2025-02-20,282.14056396484375,279.9372863769531,-0.6800746917724609,-2.8476829528808594
2025-02-25,282.7283935546875,281.0622863769531,0.163726806640625,-1.540863037109375
2025-03-02,282.08453369140625,279.74285888671875,2.9095029830932617,1.1069278717041016
2025-03-07,277.399658203125,275.6872863769531,-1.5152921676635742,-0.9876785278320312
2025-03-12,284.1988220214844,280.6120910644531,-1.987100601196289,0.6841220855712891
2025-03-17,284.0299072265625,282.7413330078125,-1.163456916809082,-0.5044565200805664
2025-03-22,281.17047119140625,277.9372863769531,0.18496990203857422,-2.9744796752929688
2025-03-27,285.4217529296875,284.54461669921875,1.0667972564697266,1.6634063720703125
2025-04-01,280.85260009765625,280.3119201660156,-0.9958019256591797,-1.494781494140625
2025-04-06,281.4668273925781,275.87432861328125,0.1064453125,-0.9802989959716797
2025-04-11,284.0010986328125,282.3122863769531,-2.021430015563965,0.11537551879882812
2025-04-16,281.3470458984375,279.0622863769531,-0.1112356185913086,-3.311917304992676
2025-04-21,282.6160888671875,282.17706298828125,-0.25528526306152344,-0.4683704376220703
2025-04-26,280.029296875,277.08416748046875,-0.043487548828125,-2.309154510498047
2025-05-01,284.0639343261719,282.7497863769531,-0.4853858947753906,0.8895797729492188
2025-05-06,285.42999267578125,283.4885559082031,0.22363662719726562,-2.1632862091064453
2025-05-11,283.2470397949219,281.1001892089844,-1.7942867279052734,-0.35241222381591797
2025-05-16,285.1980285644531,283.11920166015625,-1.4599180221557617,0.8617324829101562
2025-05-21,281.1024475097656,281.0959777832031,-1.307718276977539,0.6230783462524414
2025-05-26,283.56207275390625,281.4997863769531,-0.26618003845214844,-0.1225748062133789
2025-05-31,285.88323974609375,284.855712890625,1.1099214553833008,0.2629890441894531
2025-06-06,286.43096923828125,284.1872863769531,0.20473289489746094,0.031230926513671875
2025-06-11,285.645751953125,284.5622863769531,-0.13127708435058594,0.28395748138427734
2025-06-16,282.48626708984375,281.6872863769531,-1.26055908203125,-0.2792854309082031
2025-06-21,282.59918212890625,280.3122863769531,0.9806537628173828,1.1546459197998047
2025-06-26,285.2628479003906,284.7074279785156,0.12633705139160156,0.7691287994384766
2025-07-01,284.6282043457031,284.3747863769531,-0.3816699981689453,-0.5001182556152344
2025-07-06,285.314208984375,283.8747863769531,-0.3268566131591797,0.5322713851928711
2025-07-11,286.9722900390625,286.1247863769531,0.17255020141601562,0.35321998596191406
2025-07-16,286.77117919921875,285.6280822753906,-0.4226036071777344,0.5816869735717773
2025-07-21,287.5469970703125,284.89202880859375,0.5547895431518555,0.4597158432006836
2025-07-26,287.59381103515625,285.52166748046875,0.9909219741821289,1.0887012481689453
2025-07-31,288.185791015625,286.6247863769531,-0.9830856323242188,0.5332918167114258
2025-08-05,285.8114929199219,283.5622863769531,-1.9293756484985352,-0.025861740112304688
2025-08-10,286.6722412109375,285.6036682128906,-1.0191459655761719,-0.5018520355224609
2025-08-15,287.81591796875,286.57318115234375,-1.6981687545776367,-0.17811965942382812
2025-08-23,288.2120056152344,288.0041198730469,-1.1769027709960938,0.8679618835449219
2025-08-28,285.7555236816406,285.5274353027344,-0.19793033599853516,0.03506755828857422
2025-09-02,287.8350524902344,287.7640380859375,1.478302001953125,1.568502426147461
2025-09-07,287.014892578125,285.80413818359375,-1.3009443283081055,-1.2142772674560547
2025-09-12,288.15850830078125,286.6247863769531,0.18740081787109375,-0.6035976409912109
2025-09-17,288.9867248535156,288.574951171875,-0.11723136901855469,-0.5052251815795898
2025-09-22,287.26336669921875,286.65673828125,-0.09871673583984375,0.18878936767578125
2025-09-27,288.211669921875,286.41461181640625,-1.6762733459472656,-0.37255096435546875
2025-10-02,291.0999450683594,289.9359436035156,1.2284984588623047,0.3886432647705078
2025-10-07,286.550048828125,283.63018798828125,-2.0346527099609375,-0.3639707565307617
2025-10-12,284.5329284667969,280.2497863769531,-1.0536327362060547,-2.177532196044922
2025-10-17,283.4411926269531,279.39019775390625,-0.7170438766479492,-1.4549846649169922
2025-10-22,288.2082824707031,284.2497863769531,-0.09047412872314453,0.6964998245239258
2025-10-28,283.49853515625,278.22174072265625,-0.4326610565185547,-2.1695785522460938
2025-11-02,283.39361572265625,276.7497863769531,-1.0391044616699219,-2.4009780883789062
2025-11-07,285.2788391113281,279.46551513671875,-0.26438045501708984,-1.127218246459961
2025-11-12,287.5729064941406,285.2950439453125,-0.8881282806396484,0.7218647003173828
2025-11-17,285.72283935546875,285.55535888671875,-0.20348167419433594,0.062225341796875
2025-11-22,280.3078308105469,278.2497863769531,-1.7918357849121094,-0.19149303436279297
2025-11-27,283.1190185546875,272.9997863769531,0.04231071472167969,-2.6481380462646484
2025-12-02,280.224609375,276.9888916015625,0.49907970428466797,-2.577718734741211
2025-12-07,280.09832763671875,278.0859680175781,-0.653965950012207,-1.5430564880371094
2025-12-12,283.23333740234375,275.09967041015625,-1.169337272644043,-0.9340410232543945
2025-12-17,283.682373046875,282.92620849609375,-0.7385663986206055,-0.19397735595703125
2025-12-22,287.15313720703125,285.9372863769531,-1.6445293426513672,0.7181501388549805
2025-12-27,280.616455078125,279.63916015625,0.16914939880371094,-1.9324188232421875
