Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/24/2025,AQS,60870007,3,8.2,ug/m3 LC,46,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/25/2025,AQS,60870007,3,10,ug/m3 LC,53,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/26/2025,AQS,60870007,3,5.5,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/27/2025,AQS,60870007,3,4.2,ug/m3 LC,23,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/28/2025,AQS,60870007,3,5.5,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/29/2025,AQS,60870007,3,7,ug/m3 LC,39,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/30/2025,AQS,60870007,3,7.2,ug/m3 LC,40,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
01/31/2025,AQS,60870007,3,5.5,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/01/2025,AQS,60870007,3,3.5,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/02/2025,AQS,60870007,3,1.7,ug/m3 LC,9,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/03/2025,AQS,60870007,3,3.5,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/04/2025,AQS,60870007,3,3,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/05/2025,AQS,60870007,3,3.8,ug/m3 LC,21,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/06/2025,AQS,60870007,3,3.1,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/07/2025,AQS,60870007,3,3.1,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/08/2025,AQS,60870007,3,3.5,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/09/2025,AQS,60870007,3,3.5,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/10/2025,AQS,60870007,3,4.7,ug/m3 LC,26,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/11/2025,AQS,60870007,3,5.1,ug/m3 LC,28,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/12/2025,AQS,60870007,3,2.7,ug/m3 LC,15,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/13/2025,AQS,60870007,3,4.6,ug/m3 LC,26,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/14/2025,AQS,60870007,3,6.9,ug/m3 LC,38,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/15/2025,AQS,60870007,3,5.6,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/16/2025,AQS,60870007,3,4.6,ug/m3 LC,26,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/17/2025,AQS,60870007,3,3.9,ug/m3 LC,22,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/18/2025,AQS,60870007,3,6,ug/m3 LC,33,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/19/2025,AQS,60870007,3,5.2,ug/m3 LC,29,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/20/2025,AQS,60870007,3,4.5,ug/m3 LC,25,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/21/2025,AQS,60870007,3,6.4,ug/m3 LC,36,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/22/2025,AQS,60870007,3,5.5,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/23/2025,AQS,60870007,3,6.8,ug/m3 LC,38,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/24/2025,AQS,60870007,3,5.3,ug/m3 LC,29,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/25/2025,AQS,60870007,3,5.9,ug/m3 LC,33,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/26/2025,AQS,60870007,3,4.2,ug/m3 LC,23,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/27/2025,AQS,60870007,3,5.5,ug/m3 LC,31,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
02/28/2025,AQS,60870007,3,9.6,ug/m3 LC,52,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/01/2025,AQS,60870007,3,6,ug/m3 LC,33,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/02/2025,AQS,60870007,3,3,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/03/2025,AQS,60870007,3,2.9,ug/m3 LC,16,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/04/2025,AQS,60870007,3,2.7,ug/m3 LC,15,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/05/2025,AQS,60870007,3,4.4,ug/m3 LC,24,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/06/2025,AQS,60870007,3,2.7,ug/m3 LC,15,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/07/2025,AQS,60870007,3,5,ug/m3 LC,28,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/08/2025,AQS,60870007,3,5.3,ug/m3 LC,29,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/09/2025,AQS,60870007,3,5.3,ug/m3 LC,29,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/10/2025,AQS,60870007,3,3.6,ug/m3 LC,20,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/11/2025,AQS,60870007,3,3.3,ug/m3 LC,18,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/12/2025,AQS,60870007,3,4.5,ug/m3 LC,25,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/13/2025,AQS,60870007,3,1.7,ug/m3 LC,9,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/14/2025,AQS,60870007,3,4.6,ug/m3 LC,26,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/15/2025,AQS,60870007,3,12.1,ug/m3 LC,57,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/16/2025,AQS,60870007,3,8.3,ug/m3 LC,46,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/17/2025,AQS,60870007,3,3.5,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/18/2025,AQS,60870007,3,4.2,ug/m3 LC,23,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/19/2025,AQS,60870007,3,3.4,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/20/2025,AQS,60870007,3,1.7,ug/m3 LC,9,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/21/2025,AQS,60870007,3,2.6,ug/m3 LC,14,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/22/2025,AQS,60870007,3,3.2,ug/m3 LC,18,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/23/2025,AQS,60870007,3,4.7,ug/m3 LC,26,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/24/2025,AQS,60870007,3,2.4,ug/m3 LC,13,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/25/2025,AQS,60870007,3,3.4,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/26/2025,AQS,60870007,3,3,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/27/2025,AQS,60870007,3,2.5,ug/m3 LC,14,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/28/2025,AQS,60870007,3,1.8,ug/m3 LC,10,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/29/2025,AQS,60870007,3,3.1,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/30/2025,AQS,60870007,3,2,ug/m3 LC,11,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
03/31/2025,AQS,60870007,3,3,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/01/2025,AQS,60870007,3,2.5,ug/m3 LC,14,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/02/2025,AQS,60870007,3,2,ug/m3 LC,11,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/03/2025,AQS,60870007,3,2.8,ug/m3 LC,16,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/04/2025,AQS,60870007,3,2.4,ug/m3 LC,13,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/05/2025,AQS,60870007,3,3.1,ug/m3 LC,17,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/06/2025,AQS,60870007,3,3.5,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/07/2025,AQS,60870007,3,2.7,ug/m3 LC,15,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/08/2025,AQS,60870007,3,3.4,ug/m3 LC,19,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/09/2025,AQS,60870007,3,4.9,ug/m3 LC,27,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/10/2025,AQS,60870007,3,4.9,ug/m3 LC,27,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/11/2025,AQS,60870007,3,4.5,ug/m3 LC,25,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/12/2025,AQS,60870007,3,7.5,ug/m3 LC,42,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
04/13/2025,AQS,60870007,3,7.7,ug/m3 LC,43,Santa Cruz,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42100,"Santa Cruz-Watsonville, CA",6,California,87,Santa Cruz,36.98332,-121.98822
