Date,Site ID,Latitude,Longitude,pm25,NDVI
2025-01-01,60870007,36.98332,-121.98822,7.3,5852.318122130298
2025-01-02,60870007,36.98332,-121.98822,6.2,5850.259704968608
2025-01-03,60870007,36.98332,-121.98822,5.6,5848.201287806918
2025-01-04,60870007,36.98332,-121.98822,5.5,5846.142870645228
2025-01-05,60870007,36.98332,-121.98822,7.2,5844.084453483538
2025-01-06,60870007,36.98332,-121.98822,6.2,5842.026036321848
2025-01-07,60870007,36.98332,-121.98822,1.7,5839.9676191601575
2025-01-08,60870007,36.98332,-121.98822,4.8,5837.909201998467
2025-01-09,60870007,36.98332,-121.98822,5.6,5835.850784836777
2025-01-10,60870007,36.98332,-121.98822,5.2,5833.792367675086
2025-01-11,60870007,36.98332,-121.98822,3.3,5831.733950513396
2025-01-12,60870007,36.98332,-121.98822,3.6,5829.675533351706
2025-01-13,60870007,36.98332,-121.98822,5.1,5827.617116190016
2025-01-14,60870007,36.98332,-121.98822,4.5,5825.5586990283255
2025-01-15,60870007,36.98332,-121.98822,6.5,5823.500281866635
2025-01-16,60870007,36.98332,-121.98822,4.3,5821.441864704945
2025-01-17,60870007,36.98332,-121.98822,10.2,5819.383447543255
2025-01-18,60870007,36.98332,-121.98822,8.2,5827.385481323368
2025-01-19,60870007,36.98332,-121.98822,9.0,5835.387515103482
2025-01-20,60870007,36.98332,-121.98822,7.5,5843.389548883594
2025-01-21,60870007,36.98332,-121.98822,6.0,5851.391582663708
2025-01-22,60870007,36.98332,-121.98822,5.2,5859.393616443821
2025-01-23,60870007,36.98332,-121.98822,7.7,5867.395650223934
2025-01-24,60870007,36.98332,-121.98822,8.2,5875.397684004048
2025-01-25,60870007,36.98332,-121.98822,10.0,5883.399717784161
2025-01-26,60870007,36.98332,-121.98822,5.5,5891.401751564274
2025-01-27,60870007,36.98332,-121.98822,4.2,5899.403785344387
2025-01-28,60870007,36.98332,-121.98822,5.5,5907.4058191245
2025-01-29,60870007,36.98332,-121.98822,7.0,5915.407852904614
2025-01-30,60870007,36.98332,-121.98822,7.2,5923.409886684727
2025-01-31,60870007,36.98332,-121.98822,5.5,5931.41192046484
